,price,with_pool,nb_bedrooms,nb_bathrooms,nb_garages,nb_garden,nb_parking
4772,565000.0,0,2.0,1.0,0.0,1.0,1.0
3016,1250000.0,0,3.0,2.0,4.0,0.0,0.0
18257,895000.0,1,2.0,2.0,8.0,0.0,1.0
9632,600000.0,0,5.0,1.0,0.0,0.0,0.0
16544,5995000.0,1,4.0,3.0,6.0,1.0,0.0
3690,450000.0,0,3.0,2.0,4.0,0.0,3.0
13259,345000.0,0,3.0,2.0,0.0,0.0,1.0
10578,870000.0,0,3.0,1.0,0.0,1.0,1.0
17392,689000.0,1,2.0,1.0,1.0,0.0,0.0
4358,5300000.0,1,2.0,2.0,0.0,0.0,1.0
5511,530000.0,0,2.0,1.0,0.0,0.0,1.0
3883,1075000.0,0,2.0,2.0,4.0,1.0,1.0
10150,589999.0,0,2.0,1.0,0.0,0.0,1.0
10596,1900000.0,0,3.0,2.0,0.0,0.0,1.0
14356,4570000.0,1,4.0,2.0,1.0,1.0,0.0
3570,1500000.0,1,3.0,2.0,1.0,1.0,0.0
3640,1250000.0,0,3.0,1.0,0.0,0.0,2.0
6839,1290000.0,1,3.0,2.0,4.0,1.0,1.0
12102,7500000.0,1,5.0,3.0,6.0,1.0,2.0
15113,740000.0,0,3.0,2.0,1.0,1.0,0.0
3648,0.0,0,0.0,0.0,0.0,0.0,0.0
9623,750000.0,0,3.0,2.0,0.0,0.0,0.0
12668,1550000.0,1,4.0,1.0,4.0,1.0,0.0
1859,1390000.0,0,4.0,2.0,0.0,1.0,0.0
10989,295000.0,0,3.0,1.0,0.0,0.0,0.0
4081,1790000.0,0,3.0,1.0,0.0,0.0,1.0
1444,470000.0,0,2.0,1.0,0.0,0.0,0.0
14697,595000.0,1,3.0,2.0,0.0,0.0,1.0
10902,599000.0,1,2.0,1.0,0.0,0.0,1.0
1103,1595000.0,0,2.0,1.0,0.0,0.0,0.0
10034,850000.0,0,3.0,1.0,4.0,1.0,1.0
5624,3250000.0,0,3.0,1.0,6.0,1.0,2.0
18075,1080000.0,0,4.0,2.0,1.0,1.0,1.0
8088,2450000.0,1,3.0,2.0,4.0,0.0,0.0
12604,5990000.0,1,5.0,6.0,4.0,0.0,1.0
1374,3450000.0,0,6.0,3.0,6.0,0.0,0.0
15578,7999999.0,1,4.0,4.0,6.0,1.0,3.0
20135,2090500.0,1,2.0,1.0,0.0,1.0,2.0
3314,2200000.0,0,3.0,2.0,0.0,0.0,0.0
17449,370000.0,0,2.0,1.0,0.0,0.0,1.0
12352,1100000.0,1,3.0,1.0,1.0,1.0,1.0
19287,620000.0,0,3.0,1.0,0.0,0.0,0.0
8568,4499000.0,1,3.0,2.0,4.0,1.0,0.0
4712,395000.0,0,3.0,1.0,0.0,0.0,1.0
7292,650000.0,0,2.0,1.0,0.0,0.0,2.0
9177,870000.0,0,2.0,2.0,1.0,0.0,0.0
13144,1590000.0,0,4.0,2.0,4.0,0.0,2.0
7499,2650000.0,1,3.0,2.0,4.0,0.0,0.0
13142,749000.0,1,2.0,1.0,0.0,1.0,0.0
13366,609000.0,0,3.0,1.0,0.0,0.0,0.0
19740,5930000.0,1,3.0,2.0,8.0,0.0,1.0
20691,2070000.0,0,4.0,2.0,0.0,0.0,3.0
10637,540000.0,0,0.0,0.0,0.0,0.0,0.0
10103,699000.0,0,3.0,1.0,0.0,0.0,0.0
155,545000.0,0,1.0,1.0,0.0,0.0,1.0
13072,649000.0,1,2.0,1.0,0.0,0.0,1.0
10714,910000.0,1,3.0,2.0,0.0,0.0,1.0
20807,1590000.0,0,2.0,1.0,0.0,0.0,1.0
15012,850000.0,0,3.0,1.0,0.0,1.0,4.0
14061,5995000.0,0,3.0,3.0,4.0,1.0,1.0
3738,708000.0,0,3.0,2.0,0.0,1.0,2.0
6958,665000.0,0,1.0,1.0,0.0,0.0,2.0
11545,4999000.0,1,5.0,1.0,6.0,1.0,0.0
7208,2190000.0,0,3.0,2.0,4.0,1.0,4.0
10620,1350000.0,0,3.0,2.0,0.0,0.0,1.0
13109,1890000.0,0,3.0,1.0,4.0,1.0,2.0
14648,770000.0,0,3.0,3.0,0.0,0.0,0.0
18062,550000.0,0,10.0,5.0,0.0,0.0,0.0
3069,1250000.0,0,2.0,2.0,0.0,1.0,1.0
14822,880000.0,0,3.0,1.0,0.0,0.0,2.0
659,2600000.0,1,1.0,1.0,6.0,1.0,1.0
6270,3200000.0,0,3.0,2.0,4.0,0.0,0.0
17634,347000.0,0,1.0,1.0,1.0,0.0,1.0
15486,475000.0,0,3.0,1.0,0.0,1.0,0.0
1874,3950000.0,0,3.0,1.0,0.0,0.0,0.0
15272,1100000.0,0,3.0,1.0,4.0,1.0,1.0
10624,9725000.0,1,5.0,5.0,0.0,0.0,8.0
1901,5700000.0,0,3.0,2.0,0.0,1.0,1.0
20959,3500000.0,1,4.0,3.0,4.0,1.0,6.0
964,1150000.0,0,3.0,2.0,0.0,0.0,1.0
459,595000.0,0,2.0,1.0,1.0,1.0,1.0
8653,750000.0,0,3.0,1.0,0.0,0.0,0.0
12096,1000000.0,0,2.0,2.0,1.0,0.0,2.0
17477,1350000.0,1,3.0,2.0,0.0,1.0,1.0
18668,555000.0,0,2.0,2.0,1.0,0.0,1.0
14502,1550000.0,0,3.0,2.0,4.0,0.0,0.0
9936,750000.0,1,1.0,1.0,0.0,1.0,1.0
12255,2450000.0,0,0.0,0.0,0.0,0.0,0.0
10091,1520000.0,0,3.0,1.0,0.0,1.0,2.0
14640,1389313.0,0,3.0,2.0,0.0,1.0,1.0
19939,950000.0,0,3.0,1.0,4.0,1.0,4.0
2103,995000.0,0,2.0,1.0,0.0,0.0,2.0
10403,895000.0,0,3.0,2.0,1.0,1.0,1.0
17799,280000.0,0,1.0,1.0,0.0,1.0,1.0
2769,4400000.0,1,5.0,4.0,4.0,1.0,0.0
1978,785000.0,0,2.0,2.0,0.0,0.0,1.0
1967,1790000.0,1,3.0,2.0,0.0,1.0,0.0
7202,1790000.0,0,3.0,2.0,1.0,1.0,0.0
5475,820000.0,0,2.0,1.0,1.0,0.0,0.0
12922,1286000.0,0,2.0,1.0,0.0,1.0,1.0
14288,800000.0,0,3.0,2.0,0.0,0.0,1.0
4544,2195000.0,0,2.0,1.0,8.0,0.0,1.0
11570,1780000.0,1,3.0,2.0,4.0,1.0,1.0
17410,1600000.0,1,1.0,1.0,0.0,1.0,0.0
7617,6850000.0,1,9.0,5.0,16.0,1.0,20.0
6184,1399000.0,1,2.0,2.0,0.0,1.0,2.0
2733,940000.0,1,2.0,2.0,4.0,0.0,0.0
16437,675000.0,0,3.0,2.0,0.0,0.0,2.0
3665,6500000.0,1,2.0,2.0,0.0,0.0,1.0
8837,550000.0,0,2.0,1.0,0.0,0.0,0.0
13119,12500000.0,1,3.0,3.0,4.0,0.0,1.0
4884,850000.0,0,2.0,1.0,0.0,0.0,1.0
7296,0.0,0,5.0,4.0,10.0,0.0,5.0
16884,1395000.0,0,2.0,1.0,0.0,1.0,1.0
5481,1285000.0,0,2.0,1.0,0.0,1.0,1.0
12251,1300000.0,0,4.0,2.0,4.0,1.0,4.0
17016,2460000.0,1,4.0,1.0,0.0,0.0,0.0
4179,1090000.0,0,3.0,1.0,0.0,1.0,6.0
4446,849000.0,1,2.0,1.0,0.0,0.0,0.0
20836,5900000.0,0,3.0,2.0,0.0,0.0,1.0
10576,880000.0,0,3.0,2.0,0.0,0.0,1.0
18280,1177200.0,0,3.0,2.0,0.0,1.0,1.0
2581,2450000.0,0,4.0,2.0,1.0,1.0,0.0
13012,1200000.0,1,3.0,2.0,0.0,1.0,1.0
4692,880000.0,0,3.0,2.0,0.0,1.0,2.0
14992,545000.0,0,2.0,1.0,0.0,1.0,1.0
5951,960000.0,1,3.0,2.0,6.0,1.0,1.0
18649,4200000.0,1,4.0,4.0,0.0,0.0,0.0
897,935000.0,1,2.0,1.0,0.0,0.0,1.0
3101,1894990.0,0,3.0,2.0,6.0,1.0,1.0
12606,820000.0,0,3.0,2.0,0.0,1.0,1.0
14535,1500000.0,0,2.0,1.0,0.0,0.0,2.0
16307,627000.0,0,3.0,2.0,0.0,0.0,1.0
20965,250000.0,0,2.0,1.0,0.0,1.0,0.0
15264,795000.0,0,2.0,1.0,0.0,1.0,0.0
1077,2300000.0,1,2.0,1.0,0.0,0.0,1.0
12374,1065000.0,0,3.0,2.0,4.0,1.0,1.0
5029,1250000.0,1,3.0,2.0,1.0,0.0,1.0
19463,659000.0,0,3.0,1.0,0.0,0.0,0.0
3358,2950000.0,0,3.0,2.0,0.0,0.0,0.0
4807,1950000.0,1,4.0,3.0,4.0,1.0,2.0
5241,3995000.0,1,3.0,3.0,4.0,1.0,1.0
11366,2999000.0,1,4.0,3.0,4.0,1.0,7.0
9380,550000.0,0,3.0,1.0,0.0,0.0,0.0
14673,820000.0,0,2.0,2.0,0.0,0.0,1.0
6773,519999.0,1,1.0,1.0,0.0,0.0,1.0
7065,1390000.0,1,3.0,2.0,0.0,0.0,1.0
806,710000.0,0,3.0,0.0,4.0,1.0,0.0
14478,2250000.0,1,3.0,2.0,0.0,0.0,1.0
7206,7790000.0,1,4.0,4.0,4.0,0.0,0.0
16960,1125000.0,1,2.0,2.0,0.0,0.0,1.0
14077,4490000.0,0,4.0,3.0,6.0,1.0,3.0
987,639000.0,0,2.0,1.0,0.0,0.0,0.0
17650,750000.0,0,3.0,1.0,0.0,1.0,1.0
10727,600000.0,0,2.0,1.0,0.0,0.0,1.0
20133,1699000.0,0,6.0,6.0,4.0,0.0,1.0
10669,3800000.0,0,1.0,2.0,4.0,1.0,2.0
8812,920000.0,0,2.0,2.0,0.0,0.0,2.0
16904,729100.0,0,3.0,2.0,0.0,1.0,4.0
14920,1780000.0,1,3.0,2.0,1.0,1.0,1.0
9077,3777700.0,1,6.0,3.0,4.0,0.0,6.0
18033,1295000.0,0,2.0,2.0,0.0,0.0,0.0
1858,859000.0,0,2.0,1.0,0.0,1.0,1.0
6069,1980000.0,0,2.0,2.0,1.0,1.0,0.0
7701,1815000.0,1,2.0,2.0,10.0,0.0,0.0
